Number Processes,Test Type,Test Position,Maximum Attempts Per Second for 1 Process,Minimum Attempts Per Second for 1 Process,Average Attempts Per Second for 1 Node,All Processes Finished,Total Number Attempts for All Nodes Combined
1024,BRUTE,FIRST,298,1,175.4912109375,true,236122
1024,BRUTE,LAST,172.614882202006,164.299964792865,168.937817348649,false,14789400000
1024,BRUTE,MIDDLE,167.608242106003,160.338935443097,165.26663318536,false,12317800000
1024,BRUTE,NEVER,172.582676430804,164.126611957796,169.207632851109,false,14819900000
1024,DICTIONARY,FIRST,228,1,86.45947265625,true,98681
128,BRUTE,FIRST,60,1,24.1796875,true,3095
128,BRUTE,LAST,172.630989595484,165.636300011665,169.521636540138,false,1857400000
128,BRUTE,MIDDLE,172.504225187948,163.583889323814,169.279975376008,false,1854400000
128,BRUTE,NEVER,167.627889529704,160.545620737338,164.993319458714,false,1805200000
128,DICTIONARY,FIRST,82,1,30.3515625,true,3885
2048,BRUTE,FIRST,257,1,176.016723632813,true,920033
2048,BRUTE,LAST,172.596764976851,89.6310972733277,167.124929476962,false,29254900000
2048,BRUTE,MIDDLE,172.594752186589,165.50309444166,169.735005546436,false,29734600000
2048,BRUTE,NEVER,172.628976006905,89.6258122339234,167.082955236341,false,29253100000
4096,BRUTE,FIRST,215.25,1,172.061044121851,true,1167555578
4096,BRUTE,LAST,172.596764976851,163.33768900504,168.459086762422,false,58994700000
4096,BRUTE,MIDDLE,167.610206641115,86.9738960779474,163.559744926385,false,57270100000
4096,BRUTE,NEVER,172.618908768574,89.626869191943,167.838008237553,false,58778200000
